scenario,horizon_years,fold,model,train_rows,train_failures,validation_rows,validation_failures,test_rows,test_failures,selected_c,calibrator_kind,calibrator_intercept,calibrator_slope,roc_auc,average_precision,brier_score,log_loss,spearman,calibration_intercept,calibration_slope,expected_calibration_error
null_alpha,3,1,profitability_logit,5384,95,5064,92,6653,133,0.01,platt,-0.2327551598198073,0.935549757507346,0.60237441763919,0.0348144856369584,0.0195501979432021,0.0969756530835134,0.0496379877014165,3.439772442041777,1.8328087307272631,0.0053219150426821
null_alpha,3,1,distress_logit,5384,95,5064,92,6653,133,0.01,platt,-1.6939038856420394,0.5789233273061511,0.565120623645002,0.0269140983257572,0.0195759215491529,0.0976293877493241,0.0315748483863587,-0.2288599507595503,0.9192140555309276,0.0043936625503692
null_alpha,3,1,industry_rate,5384,95,5064,92,6653,133,,platt,-4.96337257133491,-0.2303546162580301,0.4674835093869643,0.0180695227869436,0.0196198012553649,0.0987377222293266,-0.0158229641643494,-8.614622716779422,-1.1782240476748589,0.0077507414214213
null_alpha,3,1,occupied_cell_rate,5384,95,5064,92,6653,133,,platt,-3.135688293099203,0.2056213660925393,0.525177591217307,0.022192250491398,0.0195917979356898,0.0980116486443065,0.0122160139738439,-0.2295159236595363,0.9174419371784928,0.0041141069197476
null_alpha,3,1,relative_axes_logit,5384,95,5064,92,6653,133,0.01,platt,-0.2339704761822076,0.9395086394425326,0.5752727293694359,0.0252599987253877,0.0195731096845862,0.097473926336454,0.0364972705223825,-0.2269419606722204,0.9167863912350088,0.0037001537335143
null_alpha,3,1,combined_axes_logit,5384,95,5064,92,6653,133,0.01,platt,-1.454763985992703,0.6275874417636678,0.5706069237510956,0.0246568097206403,0.0195782768510747,0.0976168196970624,0.0342349748505776,-0.2243510121289672,0.9113768262203626,0.0041066973362205
null_alpha,3,1,hist_gradient_boosting,5384,95,5064,92,6653,133,,platt,-3.445569970813449,0.1200235814976131,0.4983866875778403,0.0206286858701593,0.0195987970125082,0.0982113619056001,-0.0007822421266604,-0.2293616444660424,0.9156679786638896,0.0050267268461764
null_alpha,3,2,profitability_logit,9708,160,6082,117,7551,165,0.1,platt,-1.3237100295572806,0.6322785811145907,0.590868063248242,0.0317704389944834,0.0213459732559564,0.1044661227672864,0.0460197284807359,2.997999263661733,1.7232629600144296,0.0037248558348856
null_alpha,3,2,distress_logit,9708,160,6082,117,7551,165,0.01,platt,-1.642762042820317,0.5609361467288293,0.588070797331561,0.0320952363974118,0.0213457984328897,0.104504556318235,0.0446030655369863,3.011721742808621,1.743651232482733,0.0067584897208838
null_alpha,3,2,industry_rate,9708,160,6082,117,7551,165,,platt,-1.590229902228086,0.5664508344150816,0.4330711665805086,0.019779029463975,0.0214349765219369,0.1070336826468745,-0.0340166045130521,-7.688835424633968,-0.9777392843662596,0.0089456542754583
null_alpha,3,2,occupied_cell_rate,9708,160,6082,117,7551,165,,platt,-4.457184359113782,-0.1216523081317992,0.4597477619411007,0.0198679670258234,0.0213922878971472,0.1056494788327264,-0.0203914355621203,-0.2319281619152081,0.9073721389408876,0.0050491213743102
null_alpha,3,2,relative_axes_logit,9708,160,6082,117,7551,165,0.01,platt,-0.2231728664475963,0.910295549092291,0.5499068672098729,0.0268756254418675,0.0213716840983094,0.1051801511696182,0.0252751120294507,-0.2238951732402694,0.896974918891642,0.0060372666104199
null_alpha,3,2,combined_axes_logit,9708,160,6082,117,7551,165,0.01,platt,-1.7222394442791142,0.5322465235389304,0.5418761128753006,0.0270659109183103,0.0213727955907574,0.1051856206410221,0.0212079720377992,-0.2258019047238496,0.9003310379428633,0.0040399422626557
null_alpha,3,2,hist_gradient_boosting,9708,160,6082,117,7551,165,,platt,-2.879583330083385,0.2375717052295049,0.5280268156791309,0.0268687699676408,0.021371290360319,0.105189333639614,0.014194056763581,-0.2297181331889045,0.9066379757935186,0.0054819967044972
null_alpha,3,3,profitability_logit,15233,270,7034,150,8405,218,10.0,platt,4.172808928030941,1.9871670337339469,0.5743682925380694,0.0348931796187555,0.0252493170147567,0.1201947537322195,0.0409478742321421,-1.4798257329706528,0.5615216822079763,0.0057269042169943
null_alpha,3,3,distress_logit,15233,270,7034,150,8405,218,10.0,platt,-0.2212836057580388,0.9017658718208243,0.5686101147153184,0.033242720935885,0.025244014252182,0.1200700437950738,0.0377773679149288,-1.0487453286351391,0.6823918099666644,0.0057259551140952
null_alpha,3,3,industry_rate,15233,270,7034,150,8405,218,,platt,-6.131793440142898,-0.5610163674439883,0.434495334402381,0.0219269192221683,0.0253633389616195,0.1225131009637936,-0.0361952541789791,-8.831347083894267,-1.3445557085681348,0.0122413210176844
null_alpha,3,3,occupied_cell_rate,15233,270,7034,150,8405,218,,platt,-3.1431750311830635,0.1628021027970665,0.5160684930125293,0.026368473615217,0.0252870947197689,0.1208383770678609,0.0088484522620665,-0.2315206102957085,0.8862133733378866,0.0064089003907602
null_alpha,3,3,relative_axes_logit,15233,270,7034,150,8405,218,0.01,platt,-0.2167906235709422,0.8868268579233279,0.5482654308744116,0.0339273917376201,0.0252631417367807,0.120493015184024,0.0265753955908461,-0.2284336462590315,0.8832017505499808,0.0058464932674441
null_alpha,3,3,combined_axes_logit,15233,270,7034,150,8405,218,0.01,platt,-1.9423934315333795,0.454890647646699,0.5682501235456077,0.0360187943369017,0.0252535347042709,0.1200985937049398,0.0375791534331922,2.653356864197405,1.6426004728699743,0.0058618235261918
null_alpha,3,3,hist_gradient_boosting,15233,270,7034,150,8405,218,,platt,-0.2197143820893087,0.8914230015928424,0.5520726526614693,0.0314644792512926,0.0252673007901865,0.1204187064308225,0.0286868663420335,-0.235461005349985,0.8941862924090858,0.0045863206555073
null_alpha,3,4,profitability_logit,21684,396,7884,170,9180,183,0.01,platt,-0.2230883009250597,0.8967288150860506,0.5757905944361539,0.0276101739560194,0.0195159592252378,0.0973218207743486,0.0366976000186641,-0.2516718141545356,0.9612177820646725,0.0038989827734012
null_alpha,3,4,distress_logit,21684,396,7884,170,9180,183,0.01,platt,-0.2259220685921173,0.9018365475488992,0.5448203438790464,0.0245657735336106,0.0195364593013614,0.097770073519053,0.0217018887977954,-0.2528692025155096,0.9613323534741528,0.003725090692621
null_alpha,3,4,industry_rate,21684,396,7884,170,9180,183,,platt,-3.53120789206715,0.070480466409028,0.4968820815195837,0.0205310170196576,0.0195404520877998,0.0978623412172925,-0.0015150056658147,-0.2504015082285997,0.9551397128963722,0.0055976697890283
null_alpha,3,4,occupied_cell_rate,21684,396,7884,170,9180,183,,platt,-3.6342519822745234,0.0428424453202198,0.5232603338939331,0.0223750373353334,0.0195383882487951,0.0978128196609888,0.0112633782104322,-0.2503642969504614,0.9553508757648164,0.0020407028936422
