scenario,annualized_gross_capacity_return,annualized_net_return,annualized_net_sharpe,average_capacity_fill_ratio,average_turnover,net_factor_alpha_monthly,net_factor_alpha_p_value,net_maximum_drawdown
migration_alpha,0.02485776121898061,-0.05161015494597916,-0.8434139453666089,0.6546408238564106,0.44522242487071617,-0.004060767078330674,0.00243017016905996,-0.5102447975706166
null_alpha,-0.021687891502070008,-0.08859471686439194,-1.5794475941178714,0.5865270726225548,0.3996406053167546,-0.007418507400826943,3.949614821003914e-08,-0.7095828285323891
