gvkey,feature_date,archetype,viability_level,pc1,pc2
101491,1976-03-31,Archetype C,,-0.05038694025567394,-0.2602455519065836
101589,1976-03-31,Archetype C,,-0.05038694025567394,-0.2602455519065836
101574,1976-04-30,Archetype C,,-0.05038694025567394,-0.2602455519065836
102284,1976-04-30,Archetype C,,-0.05038694025567394,-0.2602455519065836
101398,1977-03-31,Archetype C,,-0.05038694025567394,-0.2602455519065836
102083,1977-03-31,Archetype C,,-0.05038694025567394,-0.2602455519065836
102326,1977-03-31,Archetype C,,-0.05038694025567394,-0.2602455519065836
100021,1977-04-30,Archetype C,,-0.05038694025567394,-0.2602455519065836
102577,1977-05-31,Archetype C,,-0.05038694025567394,-0.2602455519065836
100595,1978-02-28,Noise / Unassigned,,0.17723399484323898,-0.5357559487119063
100002,1978-03-31,Noise / Unassigned,,0.18926419054670865,1.5428306849268858
100199,1978-03-31,Noise / Unassigned,,-0.23977939986657684,2.152773710429754
100543,1978-03-31,Noise / Unassigned,,-0.17344514483318277,-0.743625049904181
100826,1978-03-31,Noise / Unassigned,,0.10436294274494926,0.055657462954049886
101461,1978-03-31,Noise / Unassigned,,0.17540925751693118,1.3131719485471367
102163,1978-03-31,Noise / Unassigned,,0.06665726195130212,-1.2921324964827394
102326,1978-03-31,Noise / Unassigned,,0.11101844455999949,1.4739007814687461
102352,1978-03-31,Noise / Unassigned,,0.03743892612658497,-1.4258205500271404
102753,1978-03-31,Noise / Unassigned,,-0.2157213859954388,-1.6488399059543972
100216,1978-04-30,Noise / Unassigned,,-0.17316984914835487,2.9592724651327114
100525,1978-04-30,Noise / Unassigned,,0.27230008117477944,-1.3110706631928704
101145,1978-04-30,Noise / Unassigned,,-0.22873952447581944,-1.192014470752879
101831,1978-04-30,Noise / Unassigned,,-0.03978085708880073,-1.5859956277946297
100353,1978-05-31,Noise / Unassigned,,0.18041376131171522,-1.4331730401209783
100443,1978-05-31,Noise / Unassigned,,-0.1637917668293191,-1.736397880338485
100996,1978-05-31,Noise / Unassigned,,0.008990612006162288,-0.6502131973557765
101574,1978-05-31,Noise / Unassigned,,-0.2120156302870909,-1.778880269771993
102347,1978-05-31,Noise / Unassigned,,-0.19623439277857446,-1.7649779270414785
101107,1979-02-28,Noise / Unassigned,,1.240416874365818,2.8728186141161682
102768,1979-02-28,Noise / Unassigned,,1.5752456967997444,0.4516623690941758
100525,1979-03-31,Noise / Unassigned,,-0.3164915931051863,0.35365160082408775
100585,1979-03-31,Noise / Unassigned,,0.13076066724441102,4.662355238461798
100595,1979-03-31,Noise / Unassigned,,3.111378248694233,-0.8771540791123914
101514,1979-03-31,Noise / Unassigned,,-0.2707883674642243,-0.34309314671439106
