cell_id,observations,firms,share
111111,1494,1005,0.025364164204950596
110111,1367,1063,0.023208040474007673
121111,1166,792,0.019795592679365728
120111,1020,806,0.017316899256391974
101111,833,570,0.01414213439272011
100111,690,545,0.011714373026382806
111222,621,487,0.010542935723744524
011000,601,427,0.010203388679501544
211222,583,450,0.009897796339682864
112111,561,419,0.009524294591015585
111000,553,426,0.009388475773318394
111211,542,452,0.009201724898984754
111110,469,375,0.007962378187497877
122111,468,343,0.00794540083528573
110000,464,358,0.007877491426437132
121222,461,363,0.007826559369800685
112222,439,340,0.007453057621133408
111221,433,361,0.007351193507860514
111101,417,326,0.00707955587246613
111011,407,336,0.00690978235034464
121000,407,304,0.00690978235034464
111112,405,335,0.0068758276459203425
021000,405,285,0.0068758276459203425
212222,396,281,0.006723031476011001
010000,395,307,0.006706054123798853
121211,387,326,0.00657023530610166
221222,383,302,0.006502325897253064
111001,369,327,0.006264642966282979
001000,347,243,0.0058911412176157005
110222,338,284,0.005738345047706359
111122,331,283,0.005619503582221317
102111,330,249,0.005602526230009168
122222,329,244,0.005585548877797019
111100,327,259,0.005551594173372721
121110,324,264,0.005500662116736274
111121,323,270,0.0054836847645241245
121011,317,270,0.005381820651251231
011001,316,272,0.005364843299039082
120000,312,244,0.005296933890190486
210222,310,254,0.005262979185766188
020000,301,212,0.005110183015856847
121112,298,243,0.0050592509592204
101000,295,223,0.005008318902583953
201222,286,221,0.004855522732674612
222222,286,209,0.004855522732674612
101211,285,233,0.004838545380462463
110211,283,250,0.004804590676038165
101222,282,216,0.004787613323826016
121221,282,235,0.004787613323826016
110101,281,245,0.004770635971613867
111010,280,254,0.004753658619401718
121100,272,219,0.004617839801704526
110110,270,239,0.004583885097280228
120222,268,234,0.00454993039285593
110001,266,223,0.004515975688431632
121001,266,217,0.004515975688431632
101110,262,208,0.004448066279583036
211221,262,219,0.004448066279583036
110100,259,224,0.00439713422294659
121101,257,208,0.004363179518522291
112011,251,224,0.004261315405249397
202222,250,170,0.0042443380530372485
120101,249,199,0.0042273607008251
112122,248,204,0.00421038334861295
011111,246,218,0.004176428644188652
102222,243,179,0.004125496587552205
120211,242,210,0.004108519235340056
110112,242,217,0.004108519235340056
112121,241,197,0.004091541883127907
121121,237,203,0.004023632474279311
121122,237,185,0.004023632474279311
110221,236,209,0.004006655122067162
101101,235,177,0.003989677769855014
121010,235,200,0.003989677769855014
112221,234,194,0.003972700417642865
021001,226,190,0.0038368815999456725
111212,222,204,0.0037689721910970763
110011,220,196,0.0037350174866727787
101112,220,189,0.0037350174866727787
100000,217,169,0.0036840854300363313
101011,212,179,0.0035991986689755864
101221,211,170,0.0035822213167634375
112110,210,185,0.0035652439645512887
112112,209,182,0.0035482666123391395
010001,209,175,0.0035482666123391395
120110,208,176,0.0035312892601269906
112211,205,175,0.0034803572034905438
011100,204,179,0.0034633798512783945
211111,201,182,0.0034124477946419476
011101,199,175,0.0033784930902176495
120001,196,161,0.0033275610335812026
120112,195,160,0.003310583681369054
220222,187,164,0.003174764863671862
110010,187,169,0.003174764863671862
221221,186,153,0.0031577875114597127
122221,185,146,0.003140810159247564
120011,185,170,0.003140810159247564
101001,181,145,0.0030729007503989677
101121,178,149,0.003021968693762521
120100,178,152,0.003021968693762521
120221,177,157,0.003004991341550372
021111,175,149,0.002971036637126074
110122,174,158,0.0029540592849139247
211211,174,152,0.0029540592849139247
101100,172,141,0.002920104580489627
101122,169,145,0.0028691725238531797
010100,169,153,0.0028691725238531797
122122,169,131,0.0028691725238531797
122121,169,145,0.0028691725238531797
122011,168,148,0.002852195171641031
100222,167,141,0.002835217819428882
000000,165,124,0.002801263115004584
122112,165,134,0.002801263115004584
110121,161,145,0.002733353706155988
100101,158,131,0.002682421649519541
001001,156,136,0.002648466945095243
102122,154,121,0.002614512240670945
101010,154,128,0.002614512240670945
200222,150,125,0.002546602831822349
102011,150,128,0.002546602831822349
100211,149,125,0.0025296254796102
021100,148,130,0.002512648127398051
221111,147,132,0.002495670775185902
012000,147,121,0.002495670775185902
021101,147,129,0.002495670775185902
121212,144,133,0.002444738718549455
122110,144,118,0.002444738718549455
102221,143,121,0.002427761366337306
211122,143,130,0.002427761366337306
112000,143,115,0.002427761366337306
201221,143,118,0.002427761366337306
100110,141,122,0.002393806661913008
020001,140,121,0.002376829309700859
210221,138,121,0.002342874605276561
011011,137,130,0.0023258972530644123
011110,137,125,0.0023258972530644123
010101,136,127,0.002308919900852263
120122,136,122,0.002308919900852263
100112,133,121,0.002257987844215816
100100,133,112,0.002257987844215816
010111,133,121,0.002257987844215816
110212,132,118,0.0022410104920036673
112010,131,120,0.002224033139791518
102110,130,108,0.002207055787579369
100001,130,113,0.002207055787579369
122211,130,114,0.002207055787579369
102112,127,111,0.0021561237309429223
021011,127,110,0.0021561237309429223
102121,127,109,0.0021561237309429223
211121,126,118,0.002139146378730773
210111,126,113,0.002139146378730773
120121,123,114,0.002088214322094326
212221,120,108,0.0020372822654578793
221211,119,107,0.00202030491324573
112001,119,103,0.00202030491324573
020101,117,100,0.0019863502088214324
120010,115,100,0.0019523955043971343
000001,115,97,0.0019523955043971343
100221,115,108,0.0019523955043971343
011010,114,106,0.0019354181521849853
020111,113,99,0.0019184407999728362
012001,112,97,0.0019014634477606872
222221,112,91,0.0019014634477606872
001111,111,103,0.0018844860955485382
100011,110,100,0.0018675087433363893
001100,108,95,0.0018335540389120913
111201,106,101,0.0017995993344877932
221121,105,95,0.0017826219822756444
202221,104,84,0.0017656446300634953
220221,104,86,0.0017656446300634953
122000,103,89,0.0017486672778513463
012111,101,88,0.0017147125734270482
210211,101,95,0.0017147125734270482
212122,100,94,0.0016977352212148994
101212,100,93,0.0016977352212148994
102211,99,93,0.0016807578690027504
221122,99,87,0.0016807578690027504
100121,99,91,0.0016807578690027504
212121,98,88,0.0016637805167906013
222122,97,81,0.0016468031645784523
010011,97,94,0.0016468031645784523
211112,96,89,0.0016298258123663032
112101,96,81,0.0016298258123663032
100122,95,84,0.0016128484601541544
011112,95,94,0.0016128484601541544
002000,94,69,0.0015958711079420054
111120,93,88,0.0015788937557298563
020100,92,85,0.0015619164035177073
012011,89,79,0.0015109843468812604
102000,88,68,0.0014940069946691114
122010,88,83,0.0014940069946691114
021010,88,83,0.0014940069946691114
001101,87,80,0.0014770296424569623
111210,87,80,0.0014770296424569623
021110,87,82,0.0014770296424569623
112100,87,77,0.0014770296424569623
022000,86,69,0.0014600522902448135
201211,86,81,0.0014600522902448135
210121,86,83,0.0014600522902448135
212111,84,80,0.0014260975858205154
001110,84,80,0.0014260975858205154
112212,84,78,0.0014260975858205154
210122,83,77,0.0014091202336083664
201111,83,74,0.0014091202336083664
120212,82,75,0.0013921428813962174
121210,82,74,0.0013921428813962174
220111,80,68,0.0013581881769719195
122001,79,76,0.0013412108247597705
200221,78,66,0.0013242334725476214
011211,78,74,0.0013242334725476214
211110,78,77,0.0013242334725476214
001010,78,74,0.0013242334725476214
220211,77,72,0.0013072561203354724
201121,76,68,0.0012902787681233236
021112,75,72,0.0012733014159111745
001011,75,67,0.0012733014159111745
102001,75,64,0.0012733014159111745
022111,74,66,0.0012563240636990255
010010,74,69,0.0012563240636990255
222111,74,64,0.0012563240636990255
000100,71,67,0.0012053920070625786
222121,71,62,0.0012053920070625786
122212,70,65,0.0011884146548504296
022001,70,60,0.0011884146548504296
221112,69,65,0.0011714373026382805
202121,69,64,0.0011714373026382805
102010,68,64,0.0011544599504261315
201122,68,64,0.0011544599504261315
002111,68,62,0.0011544599504261315
112120,68,63,0.0011544599504261315
111012,67,65,0.0011374825982139825
110120,67,62,0.0011374825982139825
012110,66,63,0.0011205052460018336
121120,66,65,0.0011205052460018336
111102,65,62,0.0011035278937896846
010110,65,63,0.0011035278937896846
120201,64,62,0.0010865505415775356
111021,64,62,0.0010865505415775356
102101,63,56,0.0010695731893653865
011002,62,60,0.0010525958371532375
100010,62,56,0.0010525958371532375
122101,62,58,0.0010525958371532375
101201,61,57,0.0010356184849410887
211212,61,58,0.0010356184849410887
022011,61,55,0.0010356184849410887
020011,61,57,0.0010356184849410887
010112,60,57,0.0010186411327289396
100212,60,60,0.0010186411327289396
021211,59,57,0.0010016637805167906
012101,58,51,0.0009846864283046416
