fold,rows,firms,oracle_slope,oracle_standard_error,oracle_t_stat,oracle_p_value,oracle_r_squared
1,4015,1427,0.35427483872630167,1.5032268706172178,0.2356762280206168,0.8136959438073983,1.3840646822194103e-05
2,6106,1656,-0.439651309988093,0.9907857612763276,-0.44374003661673067,0.6572462742372394,3.225735066458846e-05
3,6740,1805,1.5716036498897434,0.9058945725239942,1.7348637441451464,0.08281066928774344,0.00044648388318402343
4,7366,1997,1.1160970690351653,0.8780168982447443,1.271156706968135,0.20371305484254587,0.00021937600451993333
