scenario,rows,firms,coverage_vs_benchmark,candidate_truth_spearman,candidate_return_spearman,candidate_return_slope,candidate_return_clustered_se,candidate_return_t_stat,candidate_return_p_value,oracle_return_slope,oracle_return_clustered_se,oracle_return_t_stat,oracle_return_p_value
migration_alpha,22083,2227,0.963145498953245,0.4616517535128153,0.019680857458090797,0.012984405320529463,0.004219182521436021,3.0774694516202517,0.002113096478738359,0.7571846054502751,0.08452926164087841,8.957662598156425,6.838963661024797e-19
null_alpha,22013,2258,0.961602306482614,,0.007926643574303475,0.004742266940698433,0.004157234145580995,1.1407264480734887,0.25410480305012967,,,,
