candidate,calibration_spearman,held_out_spearman,held_out_2013_2015_spearman,held_out_2016_2018_spearman,calibration_rows,held_out_rows,held_out_coverage_vs_benchmark,held_out_improvement_vs_benchmark,is_benchmark
anchored_axis_innovation,0.46948674757939757,0.45037305549961104,0.46082433038024573,0.440306097878241,16212,10485,1.1535922543734185,-0.007465673461295785,False
blended_axis_innovation,0.464339461694813,0.4483430780697921,0.4586391327914366,0.4383665241458769,16212,10485,1.1535922543734185,-0.009495650891114704,False
migration_surprise,0.028471971724488187,0.4578387289609068,0.42424016704718226,0.4873412961969099,13844,9089,1.0,0.0,True
relative_axis_innovation,0.4532091976463854,0.4412105554350666,0.4509469602188541,0.4317795041579018,16212,10485,1.1535922543734185,-0.01662817352584023,False
