prior_archetype,Archetype A,Archetype B,Noise / Unassigned
Archetype A,0.0375426621160409,0.0,0.962457337883959
Archetype B,0.0136986301369863,0.0068493150684931,0.9794520547945206
Archetype C,0.0,0.0,1.0
Noise / Unassigned,0.0034809456064412,6.0538184459848047e-05,0.9964585162090988
